date,city,aqi
2022-04-01,Agartala,78
2022-04-02,Agartala,77
2022-04-03,Agartala,76
2022-04-04,Agartala,57
2022-04-05,Agartala,64
2022-04-06,Agartala,58
2022-04-07,Agartala,73
2022-04-08,Agartala,98
2022-04-09,Agartala,82
2022-04-10,Agartala,48
2022-04-11,Agartala,54
2022-04-12,Agartala,62
2022-04-13,Agartala,65
2022-04-14,Agartala,56
2022-04-15,Agartala,50
2022-04-16,Agartala,55
2022-04-17,Agartala,50
2022-04-18,Agartala,46
2022-04-19,Agartala,58
2022-04-20,Agartala,56
2022-04-21,Agartala,50
2022-04-22,Agartala,72
2022-04-23,Agartala,62
2022-04-24,Agartala,75
2022-04-25,Agartala,66
2022-04-26,Agartala,75
2022-04-27,Agartala,82
2022-04-28,Agartala,86
2022-04-29,Agartala,94
2022-04-30,Agartala,83
2022-05-01,Agartala,80
2022-05-02,Agartala,76
2022-05-03,Agartala,66
2022-05-04,Agartala,40
2022-05-05,Agartala,48
2022-05-06,Agartala,42
2022-05-07,Agartala,66
2022-05-08,Agartala,99
2022-05-09,Agartala,60
2022-05-10,Agartala,31
2022-05-11,Agartala,40
2022-05-12,Agartala,56
2022-05-13,Agartala,52
2022-05-14,Agartala,57
2022-05-15,Agartala,50
2022-05-16,Agartala,39
2022-05-17,Agartala,42
2022-05-18,Agartala,36
2022-05-19,Agartala,34
2022-05-20,Agartala,34
2022-05-21,Agartala,41
2022-05-22,Agartala,94
2022-05-23,Agartala,50
2022-05-24,Agartala,66
2022-05-25,Agartala,59
2022-05-26,Agartala,46
2022-05-27,Agartala,54
2022-05-28,Agartala,62
2022-05-29,Agartala,62
2022-05-30,Agartala,50
2022-05-31,Agartala,60
2022-06-01,Agartala,52
2022-06-02,Agartala,64
2022-06-03,Agartala,56
2022-06-04,Agartala,44
2022-06-05,Agartala,51
2022-06-06,Agartala,56
2022-06-07,Agartala,70
2022-06-08,Agartala,46
2022-06-09,Agartala,56
2022-06-10,Agartala,40
2022-06-11,Agartala,56
