city	aqi	date
Delhi	239	19-12-2025
Mumbai	153	19-12-2025
Bangalore	128	19-12-2025
Chennai	74	19-12-2025
Kolkata	146	19-12-2025
Pune	232	19-12-2025
Ahmedabad	113	19-12-2025
Jaipur	151	19-12-2025
Lucknow	180	19-12-2025
Kanpur	158	19-12-2025
Patna	170	19-12-2025
Noida	445	19-12-2025
Faridabad	228	19-12-2025
Ghaziabad	291	19-12-2025
Meerut	334	19-12-2025
Agra	186	19-12-2025
Varanasi	163	19-12-2025
Amritsar	110	19-12-2025
Ludhiana	157	19-12-2025
Chandigarh	190	19-12-2025
Srinagar	169	19-12-2025
Hyderabad	133	19-12-2025
Dehradun	181	19-12-2025
